file/DLL,class/struct/interface,method/function,constant/variable,category,data type,function or roles
Program.cs,-,-,-,-,file,IMEPointer 앱의 메인 진입점 및 전체 UI/로직을 포함하는 소스코드
Program.cs,AppConfig,-,-,-,class,사용자가 변경할 수 있는 앱의 전반적인 환경설정 값들을 모아둔 정적 클래스
Program.cs,AppConfig,-,PollingInterval,const,int,IME 상태 감지 주기 (ms 단위)
Program.cs,AppConfig,-,IndicatorTargetApps,readonly,array,상태 표시기를 띄울 대상 프로세스 이름 목록
Program.cs,AppConfig,-,IndicatorSize,const,float,상태 표시기의 기본 크기
Program.cs,AppConfig,-,IndicatorOffset,const,float,상태 표시기가 포인터에서 떨어지는 오프셋 거리
Program.cs,AppConfig,-,OverlayDefaultDurationMs,const,int,오버레이 UI의 기본 표시 시간 (ms 단위)
Program.cs,AppConfig,-,OverlayDefaultFontSize,const,float,오버레이 UI의 기본 폰트 크기
Program.cs,AppConfig,-,OverlayDefaultHeight,const,int,오버레이 UI의 기본 높이
Program.cs,AppConfig,-,OverlayDefaultCharWidth,const,int,오버레이 UI의 문자당 기본 너비
Program.cs,AppConfig,-,OverlayDefaultPaddingWidth,const,int,오버레이 UI의 기본 여백 너비
Program.cs,AppConfig,-,OverlayDefaultYOffset,const,int,오버레이 UI의 Y축 오프셋
Program.cs,AppConfig,-,TrayIconSize,const,int,트레이 아이콘의 렌더링 크기
Program.cs,AppConfig,-,TrayLowercaseFontSize,const,float,트레이 아이콘 내 소문자 폰트 크기
Program.cs,AppConfig,-,TrayUppercaseFontSize,const,float,트레이 아이콘 내 대문자 폰트 크기
Program.cs,AppConfig,-,ShowPointerWinDefault,field,bool,트레이 메뉴 표시 옵션: WIN Default Pointer
Program.cs,AppConfig,-,ShowPointerWinColor,field,bool,트레이 메뉴 표시 옵션: WIN Color Pointer
Program.cs,AppConfig,-,ShowPointerNewColor,field,bool,트레이 메뉴 표시 옵션: NEW Color Pointer
Program.cs,AppConfig,-,ShowCapsHangul,field,bool,트레이 메뉴 표시 옵션: 한글 (기본)
Program.cs,AppConfig,-,ShowCapsEngineer,field,bool,트레이 메뉴 표시 옵션: 공학용 특수기호
Program.cs,AppConfig,-,ShowCapsPali,field,bool,트레이 메뉴 표시 옵션: Pali/Sanskrit
Program.cs,AppConfig,-,ShowCapsJapanese1,field,bool,트레이 메뉴 표시 옵션: 일본어 1 (조합형)
Program.cs,AppConfig,-,ShowCapsJapanese2,field,bool,트레이 메뉴 표시 옵션: 일본어 2 (조합형)
Program.cs,AppConfig,-,ShowCapsJapanese3,field,bool,트레이 메뉴 표시 옵션: 일본어 3 (3Layer)
Program.cs,AppConfig,-,ShowKeyboardlayoutMenu,field,bool,트레이 메뉴 표시 옵션: 키보드 배열창
Program.cs,AppConfig,-,ShowTextOverlayMenu,field,bool,트레이 메뉴 표시 옵션: 입력문자 표시창
Program.cs,AppConfig,-,ShowSmallCircleMenu,field,bool,트레이 메뉴 표시 옵션: 작은원 표시
Program.cs,AppConfig,-,ShowCopilotMapMenu,field,bool,트레이 메뉴 표시 옵션: Copilot 키맵핑
Program.cs,AppConfig,-,DefaultPointerMode,field,int,앱 시작 시 기본 포인터 모드 값
Program.cs,AppConfig,-,DefaultCapsMode,field,int,앱 시작 시 기본 Caps 모드 값
Program.cs,AppConfig,-,DefaultShowKeyboardLayout,field,bool,키보드 배열창의 초기 활성화 상태
Program.cs,AppConfig,-,DefaultShowTextOverlay,field,bool,텍스트 오버레이의 초기 활성화 상태
Program.cs,AppConfig,-,DefaultEnableMiniIndicator,field,bool,미니 인디케이터의 초기 활성화 상태
Program.cs,AppConfig,-,DefaultEnableCopilotMap,field,bool,Copilot 키맵핑의 초기 활성화 상태
Program.cs,AppConfig,-,EnableCopilotMap,field,bool,현재 Copilot 키맵핑 활성화 여부
Program.cs,AppConfig,-,IsOverlayKey2Mode,field,bool,Lang.cs 연동용 OverlayKey2 모드 동작 여부
Program.cs,AppConfig,-,Themes,readonly,dictionary,IME 상태(State)별 테마(Theme) 설정값 매핑 사전
Program.cs,AppConfig.Theme,-,-,-,struct,트레이 아이콘 및 포인터의 테마 색상/텍스트를 정의하는 구조체
Program.cs,AppConfig.Theme,-,PointerColor,field,Color,포인터(커서)에 적용될 색상
Program.cs,AppConfig.Theme,-,TrayBgColor,field,Color,트레이 아이콘 배경 색상
Program.cs,AppConfig.Theme,-,TrayTextColor,field,Color,트레이 아이콘 텍스트 색상
Program.cs,AppConfig.Theme,-,TrayText,field,string,트레이 아이콘에 표시될 텍스트 (1글자)
Program.cs,AppConfig.Theme,-,Description,field,string,해당 테마(상태)의 설명 텍스트
Program.cs,AppConfig.Theme,-,IBeamColor,field,Color,텍스트 입력 커서(I-Beam)에 적용될 색상
Program.cs,UiText,-,-,-,class,UI에 표시될 문자열 리소스를 모아둔 정적 클래스
Program.cs,UiText,-,AppName,const,string,애플리케이션 이름 문자열
Program.cs,UiText,-,AlreadyRunningMessage,const,string,중복 실행 방지 경고 메시지
Program.cs,UiText,-,FatalErrorPrefix,const,string,치명적 오류 발생 시 접두사 문자열
Program.cs,UiText,-,StatusChecking,const,string,상태 확인 중 메시지 문자열
Program.cs,UiText,-,HangulCapsMode,property,string,현재 활성화된 한글 Caps 모드 이름 반환
Program.cs,UiText,-,ExitMenu,const,string,종료 메뉴 문자열
Program.cs,UiText,-,GithubUrl,const,string,프로젝트 Github 링크 URL
Program.cs,UiText,TrayTooltip,-,-,string,트레이 아이콘 마우스 오버 시 표시할 툴팁 문자열 포맷팅
Program.cs,UiText,StatusLabel,-,-,string,메뉴에 표시할 현재 상태 라벨 포맷팅
Program.cs,Program,-,-,-,class,애플리케이션의 진입점을 포함하는 클래스
Program.cs,Program,Main,-,-,void,"뮤텍스 확인, 예외 처리기 등록 및 메인 메시지 루프 실행"
Program.cs,PointerGraphicsFactory,-,-,-,class,커서 및 포인터 그래픽(Bitmap)을 생성하고 조작하는 팩토리 클래스
Program.cs,PointerGraphicsFactory,CreateColoredSystemPointer,-,-,IntPtr,지정된 색상과 크기로 시스템 포인터 핸들을 생성하여 반환
Program.cs,PointerGraphicsFactory,AddSmoothOutline,-,-,Bitmap,I-Beam 커서 등을 위해 비트맵 이미지에 부드러운 윤곽선을 추가
Program.cs,PointerGraphicsFactory,RenderPointerToArgbBitmap,-,-,Bitmap,아이콘/커서 핸들(IntPtr)을 32비트 ARGB Bitmap 객체로 렌더링
Program.cs,PointerGraphicsFactory,RecolorCursorStraight,-,-,void,비트맵 픽셀 데이터에 직접 접근하여 목표 색상으로 변경(Recolor)
Program.cs,PointerGraphicsFactory,BitmapToPointer,-,-,IntPtr,Bitmap 객체를 기반으로 시스템 아이콘/커서 핸들 생성
Program.cs,KeyboardLayoutForm,-,-,-,class,키보드 자판 배열(이미지)을 화면에 띄우는 오버레이 폼 클래스
Program.cs,KeyboardLayoutForm,-,_pbLayoutImage,readonly,PictureBox,자판 이미지를 렌더링할 PictureBox 컨트롤
Program.cs,KeyboardLayoutForm,-,OnLayoutDoubleClicked,field,EventHandler,자판 이미지 더블클릭 이벤트 (가상 Shift 전환)
Program.cs,KeyboardLayoutForm,-,OnClosedByUser,field,EventHandler,사용자가 폼을 명시적으로 닫았을 때 발생하는 이벤트
Program.cs,KeyboardLayoutForm,-,_currentImageName,field,string,현재 로드된 이미지 리소스의 이름
Program.cs,KeyboardLayoutForm,-,_currentImageSize,field,Size,현재 로드된 이미지의 크기 정보
